Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","146","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","145","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","145","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","143","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","144","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","144","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","145","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","145","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","145","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","145","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","145","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","145","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","143","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","140","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","138","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","138","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","138","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","138","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","138","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","139","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20002002","2000-2002","kcal/capita/day","3686","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20012003","2001-2003","kcal/capita/day","3671","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20022004","2002-2004","kcal/capita/day","3655","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20032005","2003-2005","kcal/capita/day","3625","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20042006","2004-2006","kcal/capita/day","3631","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20052007","2005-2007","kcal/capita/day","3637","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20062008","2006-2008","kcal/capita/day","3658","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20072009","2007-2009","kcal/capita/day","3661","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20082010","2008-2010","kcal/capita/day","3658","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20092011","2009-2011","kcal/capita/day","3654","E","Estimated value",""
"FS","Suite of Food Security Indicators","380","Italy","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20102012","2010-2012","kcal/capita/day","3644","E","Estimated value",""
